terminal_id,terminal_name,terminal_type,state,district,latitude,longitude,capacity_mtpa,connectivity_road,connectivity_rail,operational_status,source
T001,Multimodal Terminal Varanasi (Ramnagar),Multimodal Terminal (MMT),Uttar Pradesh,Varanasi,25.2677,82.9913,1.26,NH-7,EDFC planned (Jeonathpur),Operational,IWAI JMVP official page
T002,Multimodal Terminal Sahibganj (Samdaghat),Multimodal Terminal (MMT),Jharkhand,Sahibganj,25.2425,87.6411,3.03,NH-80,Sakrigali (proposed),Operational,IWAI JMVP official page
T003,Multimodal Terminal Haldia,Multimodal Terminal (MMT),West Bengal,Purba Medinipur,22.0667,88.0698,3.08,NH-41,Connected,Operational,IWAI JMVP official page
T004,Intermodal Terminal Kalughat,Intermodal Terminal (IMT),Bihar,Saran,25.7500,84.9800,0.77,NH-27,Proposed,Operational,IWAI JMVP official page
T005,Floating Terminal Prayagraj (Allahabad),Floating Terminal,Uttar Pradesh,Prayagraj,25.4358,81.8463,0.10,NH-19,Not connected,Operational,IWAI NW-1 terminals list
T006,Floating Terminal Ghazipur/Rajghat,Floating Terminal,Uttar Pradesh,Ghazipur,25.5793,83.5791,0.10,State Highway,Not connected,Operational,IWAI NW-1 terminals list
T007,Floating Terminal Ramnagar (Varanasi),Floating Terminal,Uttar Pradesh,Varanasi,25.2668,83.0107,0.10,NH-7,Not connected,Operational,IWAI NW-1 terminals list
T008,Floating Terminal Semaria,Floating Terminal,Bihar,Rohtas,25.1600,84.0300,0.10,State Highway,Not connected,Operational,IWAI NW-1 terminals list
T009,Floating Terminal Buxar,Floating Terminal,Bihar,Buxar,25.5628,83.9716,0.10,NH-30,Not connected,Operational,IWAI NW-1 terminals list
T010,Floating Terminal Munger,Floating Terminal,Bihar,Munger,25.3763,86.4733,0.10,NH-80,Not connected,Operational,IWAI NW-1 terminals list
T011,Floating Terminal Bhagalpur,Floating Terminal,Bihar,Bhagalpur,25.2425,86.9842,0.10,NH-80,Not connected,Operational,IWAI NW-1 terminals list
T012,Floating Terminal Bateshwarsthan,Floating Terminal,Bihar,Bhojpur,25.5500,84.6400,0.10,State Highway,Not connected,Operational,IWAI NW-1 terminals list
T013,Floating Terminal Rajmahal (Manglahat),Floating Terminal,Jharkhand,Sahebganj,25.0459,87.8391,0.10,NH-80,Not connected,Operational,IWAI NW-1 terminals list
T014,Floating Terminal Farakka Downstream,Floating Terminal,West Bengal,Murshidabad,24.8005,87.9140,0.10,NH-12,Not connected,Operational,IWAI NW-1 terminals list
T015,Floating Terminal Farakka Upstream,Floating Terminal,West Bengal,Murshidabad,24.8101,87.9054,0.10,NH-12,Not connected,Operational,IWAI NW-1 terminals list
T016,Floating Terminal Hazardwari (Murshidabad),Floating Terminal,West Bengal,Murshidabad,24.1872,88.2695,0.10,State Highway,Not connected,Operational,IWAI NW-1 terminals list
T017,Floating Terminal Katwa,Floating Terminal,West Bengal,Purba Bardhaman,23.6468,88.1303,0.10,State Highway,Not connected,Operational,IWAI NW-1 terminals list
T018,Floating Terminal Shantipur,Floating Terminal,West Bengal,Nadia,23.2508,88.4311,0.10,State Highway,Not connected,Operational,IWAI NW-1 terminals list
T019,Fixed Terminal GR Jetty-2 Kolkata,Fixed RCC Jetty,West Bengal,Kolkata,22.5726,88.3639,0.50,Multiple NH,Yes - Kolkata,Operational,IWAI NW-1 terminals list
T020,Fixed Terminal Gaighat Patna,Fixed RCC Jetty,Bihar,Patna,25.6093,85.1376,0.50,NH-30,Patna Junction,Operational,IWAI NW-1 terminals list
T021,Floating Terminal Budge-Budge,Floating Terminal,West Bengal,South 24 Parganas,22.4755,88.1754,0.10,NH-117,Not connected,Operational,IWAI NW-1 terminals list
T022,Floating Terminal Haldia (Floating),Floating Terminal,West Bengal,Purba Medinipur,22.0300,88.0800,0.10,NH-41,Yes,Operational,IWAI NW-1 terminals list
T023,Fixed Jetty Farakka Barrage Project,Fixed Jetty (FBP),West Bengal,Murshidabad,24.8020,87.9170,0.20,NH-12,Not connected,Operational,IWAI NW-1 terminals list
T024,Fixed Jetty Pakur (FBP),Fixed Jetty (FBP),Jharkhand,Pakur,24.6353,87.8439,0.20,NH-133B,Not connected,Operational,IWAI NW-1 terminals list
